h_id;agrupamento;assertividade;fonte;id_estudante;id_fonte;id_questionario;método
6395366f0dedcfcbae159af1;False;0;null;21;23;2;casos
639536700dedcfcbae159af2;False;0,17647058823529413;null;21;24;2;casos
639536700dedcfcbae159af3;False;0,42857142857142855;null;21;25;2;casos
639536700dedcfcbae159af4;False;0;null;21;26;2;casos
639536700dedcfcbae159af5;False;0,5289838157485217;3;21;Média;2;casos
639536730dedcfcbae159aff;False;1;null;22;9;2;casos
639536740dedcfcbae159b00;False;0,5714285714285714;null;22;10;2;casos
639536740dedcfcbae159b01;False;1;null;22;11;2;casos
639536740dedcfcbae159b02;False;1;null;22;12;2;casos
639536740dedcfcbae159b03;False;0,75;null;22;13;2;casos
639536740dedcfcbae159b04;False;1;null;22;14;2;casos
639536750dedcfcbae159b05;False;1;null;22;15;2;casos
639536750dedcfcbae159b06;False;1;null;22;16;2;casos
639536750dedcfcbae159b07;False;0,75;null;22;17;2;casos
639536750dedcfcbae159b08;False;1;null;22;18;2;casos
639536750dedcfcbae159b09;False;0,75;null;22;19;2;casos
639536760dedcfcbae159b0a;False;0,42857142857142855;null;22;20;2;casos
639536760dedcfcbae159b0b;False;0,17647058823529413;null;22;21;2;casos
639536760dedcfcbae159b0c;False;0,375;null;22;22;2;casos
639536760dedcfcbae159b0d;False;1;null;22;23;2;casos
639536770dedcfcbae159b0e;False;0,75;null;22;24;2;casos
639536770dedcfcbae159b0f;False;0,75;null;22;25;2;casos
639536770dedcfcbae159b10;False;1;null;22;26;2;casos
639536770dedcfcbae159b11;False;0,7945261437908496;3;22;Média;2;casos
6395367a0dedcfcbae159b1b;False;1;null;23;9;2;casos
6395367a0dedcfcbae159b1c;False;0,75;null;23;10;2;casos
6395367b0dedcfcbae159b1d;False;1;null;23;11;2;casos
6395367b0dedcfcbae159b1e;False;0,6;null;23;12;2;casos
6395367b0dedcfcbae159b1f;False;0,75;null;23;13;2;casos
6395367b0dedcfcbae159b20;False;0,75;null;23;14;2;casos
6395367b0dedcfcbae159b21;False;1;null;23;15;2;casos
6395367c0dedcfcbae159b22;False;1;null;23;16;2;casos
6395367c0dedcfcbae159b23;False;1;null;23;17;2;casos
6395367c0dedcfcbae159b24;False;0,75;null;23;18;2;casos
6395367c0dedcfcbae159b25;False;1;null;23;19;2;casos
6395367d0dedcfcbae159b26;False;1;null;23;20;2;casos
6395367d0dedcfcbae159b27;False;1;null;23;21;2;casos
6395367d0dedcfcbae159b28;False;1;null;23;22;2;casos
6395367d0dedcfcbae159b29;False;0,75;null;23;23;2;casos
